,price,sqft,location,bathrooms,bhk
0,67.0,1180,5th Phase,5.0,3
1,58.0,1185,5th Phase,3.0,3
2,85.0,1430,5th Phase,2.0,3
3,84.0,1180,5th Phase,2.0,1
4,48.76,1185,5th Phase,3.0,3
5,63.6,1430,5th Phase,3.0,2
6,74.98999,1180,5th Phase,2.0,3
7,48.0,1180,5th Phase,2.0,1
8,40.0,910,Abbigere,2.0,1
9,40.0,910,Abbigere,2.0,3
10,40.0,940,Abbigere,6.0,3
11,38.0,940,Abbigere,3.0,2
12,48.33,910,Abbigere,3.0,2
13,38.0,910,Abbigere,2.0,2
14,40.0,940,Abbigere,2.0,2
15,48.6,940,Abbigere,2.0,3
16,40.0,940,Abbigere,2.0,3
17,31.8,910,Abbigere,4.0,2
18,43.0,940,Abbigere,2.0,2
19,50.0,910,Abbigere,2.0,1
20,225.99999,1860,Adugodi,2.0,2
21,90.0,1495,Adugodi,2.0,2
22,90.0,1083,Adugodi,2.0,1
23,230.0,1460,Adugodi,1.0,2
25,46.0,1945,Adugodi,2.0,2
26,143.0,988,Adugodi,5.0,2
27,137.99999,1445,Adugodi,3.0,4
29,43.04,1083,Adugodi,2.0,2
31,57.97,1414,Anagalapura Near Hennur Main Road,1.0,2
32,44.0,1000,Anagalapura Near Hennur Main Road,3.0,1
33,44.55,1100,Anagalapura Near Hennur Main Road,2.0,2
34,41.0,1000,Anagalapura Near Hennur Main Road,3.0,1
35,44.07,1075,Anagalapura Near Hennur Main Road,3.0,1
38,57.0,1414,Anagalapura Near Hennur Main Road,2.0,4
39,57.97,1414,Anagalapura Near Hennur Main Road,2.0,2
40,42.72,1000,Anagalapura Near Hennur Main Road,2.0,1
41,42.72,1055,Anagalapura Near Hennur Main Road,2.0,1
43,44.89,1095,Anagalapura Near Hennur Main Road,3.0,2
44,44.55,1100,Anagalapura Near Hennur Main Road,3.0,1
45,44.07,1075,Anagalapura Near Hennur Main Road,4.0,2
46,44.07,1075,Anagalapura Near Hennur Main Road,10.0,2
