price,sqft,location,bathrooms,bhk,area_type
5500000,1310,Perungalathur,2,1,Super built-up Area
5350000,1126,Madhavaram,5,3,Plot Area
8205000,1307,Karapakkam,2,3,Built-up Area
23400000,3600,Thiruvidandhai,3,2,Super built-up Area
10100000,1700,Iyappanthangal,2,4,Super built-up Area
2950000,576,Mevalurkuppam,2,8,Super built-up Area
7600000,1207,Kolapakkam,4,3,Super built-up Area
2234000,604,Kundrathur,4,4,Super built-up Area
5521000,986,Pammal,3,6,Super built-up Area
6321000,1345,Puzhal,6,2,Plot Area
3404000,510,Selaiyur,2,2,Super built-up Area
11600000,1508,Thoraipakkam OMR,5,3,Plot Area
6536000,1245,Karapakkam,2,3,Super built-up Area
24200000,1565,Anna Nagar,2,2,Built-up Area
8162000,1306,Mogappair,3,4,Plot Area
6190000,1113,Sholinganallur,2,3,Super built-up Area
9613000,1479,Mogappair,3,4,Super built-up Area
7542000,1640,Sholinganallur,3,3,Super built-up Area
6338000,1112,Medavakkam,4,2,Super built-up Area
2724000,645,Avadi,2,8,Super built-up Area
5500000,1310,Perungalathur,1,4,Built-up Area
5350000,1126,Madhavaram,3,2,Super built-up Area
8205000,1307,Karapakkam,5,3,Plot Area
23400000,3600,Thiruvidandhai,3,3,Super built-up Area
10100000,1700,Iyappanthangal,1,2,Super built-up Area
2950000,576,Mevalurkuppam,3,2,Super built-up Area
7600000,1207,Kolapakkam,1,2,Super built-up Area
2234000,604,Kundrathur,3,2,Built-up Area
5521000,986,Pammal,2,2,Super built-up Area
6321000,1345,Puzhal,2,3,Super built-up Area
3404000,510,Selaiyur,4,3,Super built-up Area
11600000,1508,Thoraipakkam OMR,2,3,Super built-up Area
6536000,1245,Karapakkam,2,3,Super built-up Area
24200000,1565,Anna Nagar,3,1,Super built-up Area
8162000,1306,Mogappair,3,2,Built-up Area
6190000,1113,Sholinganallur,2,2,Super built-up Area
9613000,1479,Mogappair,2,3,Super built-up Area
7542000,1640,Sholinganallur,3,2,Super built-up Area
6338000,1112,Medavakkam,2,2,Super built-up Area
2724000,645,Avadi,2,3,Built-up Area
3388000,738,Tiruvottiyur,2,2,Built-up Area
3175000,804,Perungalathur,3,2,Super built-up Area
19100000,2474,Iyappanthangal,1,1,Super built-up Area
4065999,701,Manapakkam,1,4,Plot Area
6500000,1350,Madipakkam,2,2,Super built-up Area
5500000,785,Thiruvanmiyur,9,2,Plot Area
3500000,538,Ramapuram,2,1,Super built-up Area
17000000,1361,Saidapet,2,1,Super built-up Area
2499000,677,Avadi,1,3,Plot Area
4165999,868,Pammal,2,1,Built-up Area
4875000,920,Madipakkam,2,3,Super built-up Area
3442000,850,Poonamallee,3,3,Super built-up Area
4165000,850,Pammal,3,3,Built-up Area
5298000,1019,Pallavaram,2,4,Super built-up Area
5184000,1080,Pammal,2,1,Super built-up Area
10000000,1943,Maraimalai Nagar,2,3,Super built-up Area
6225000,1245,Madambakkam,,3,Built-up Area
5599000,817,Perungudi,2,1,Super built-up Area
6100000,1185,Iyappanthangal,4,2,Plot Area
2960000,779,Kolapakkam,2,4,Super built-up Area
7200000,1330,Villivakkam,3,4,Plot Area
