,price,sqft,location,bathrooms,bhk
0,80.0,1000,Adambakkam,2.0,3
1,100.0,1293,Adambakkam,2.0,4
2,55.0,1000,Adambakkam,2.0,2
3,66.81999,956,Adambakkam,3.0,2
4,80.0,995,Adambakkam,2.0,3
5,79.98999,881,Adambakkam,3.0,2
6,350.0,2011,Adyar,2.0,3
7,300.0,1975,Adyar,3.0,1
8,340.0,2380,Adyar,3.0,4
9,224.0,1451,Adyar,2.0,3
11,120.0,1090,Adyar,2.0,1
14,260.0,2610,Adyar,2.0,3
18,48.82,1200,Adyar,5.0,1
21,79.0,1500,Adyar,4.0,1
23,195.0,2380,Adyar,2.0,3
25,183.0,1500,Adyar,2.0,2
26,232.0,1545,Adyar,2.0,3
28,183.0,1500,Adyar,2.0,1
29,232.0,1545,Adyar,6.0,3
31,110.0,2235,Adyar,3.0,1
35,115.0,1000,Alwarpet,4.0,3
36,325.0,2316,Alwarpet,2.0,2
37,137.0,2348,Alwarpet,3.0,2
38,214.0,2348,Alwarpet,3.0,3
39,273.0,2476,Alwarpet,4.0,3
40,227.0,2348,Alwarpet,4.0,2
41,110.0,2781,Alwarpet,4.0,1
42,275.99999,2476,Alwarpet,2.0,3
43,264.0,2348,Alwarpet,2.0,2
44,193.0,875,Alwarpet,3.0,2
45,53.18,967,Ambattur,2.0,1
46,69.34999,1235,Ambattur,6.0,2
47,69.34999,1235,Ambattur,3.0,3
48,58.08,939,Ambattur,2.0,3
51,57.37,927,Ambattur,3.0,2
52,58.08,939,Ambattur,2.0,2
54,57.37,927,Ambattur,2.0,3
55,38.81,721,Ambattur,3.0,1
57,58.08,939,Ambattur,1.0,3
60,58.08,939,Ambattur,3.0,2
62,58.08,939,Ambattur,3.0,3
63,58.08,939,Ambattur,8.0,2
64,58.08,939,Ambattur,3.0,1
69,65.0,939,Ambattur,2.0,3
74,32.5,872,Ambattur,3.0,1
75,57.37,939,Ambattur,3.0,2
76,57.37,927,Ambattur,5.0,3
77,58.08,927,Ambattur,3.0,3
81,67.17,1053,Ambattur,3.0,2
82,67.3,1493,Ambattur,2.0,3
83,56.95,1496,Ambattur,2.0,3
84,56.82,1266,Ambattur,2.0,3
85,58.0,1263,Ambattur,2.0,3
88,57.37,721,Ambattur,4.0,1
92,62.53,1528,Ambattur,2.0,3
96,57.37,939,Ambattur,2.0,1
102,58.08,721,Ambattur,2.0,1
103,57.37,939,Ambattur,2.0,2
105,57.37,939,Ambattur,6.0,2
109,66.59999,721,Ambattur,4.0,2
110,58.08,939,Ambattur,2.0,2
114,55.06,721,Ambattur,3.0,2
116,79.0,872,Ambattur,5.0,1
117,57.37,927,Ambattur,3.0,2
121,38.81,872,Ambattur,2.0,1
126,52.63,721,Ambattur,5.0,2
127,47.57,721,Ambattur,2.0,1
129,72.13,721,Ambattur,7.0,2
130,57.37,721,Ambattur,2.0,2
131,54.05,927,Ambattur,2.0,2
132,71.08,886,Ambattur,2.0,2
133,55.5,886,Ambattur,2.0,2
134,51.6,1185,Ambattur,5.0,3
136,81.45,1498,Ambattur,2.0,4
137,58.21,1047,Ambattur,3.0,3
138,67.3,1053,Ambattur,3.0,3
139,56.95,1493,Ambattur,2.0,3
140,56.82,1294,Ambattur,2.0,3
141,67.39,1496,Ambattur,3.0,4
142,53.85,1266,Ambattur,2.0,3
144,80.13,1833,Ambattur,3.0,3
149,70.51,925,Ambattur,3.0,1
150,36.01,1090,Ambattur,2.0,1
151,75.0,925,Ambattur,3.0,2
152,80.0,783,Ambattur,2.0,2
153,242.0,1565,Anna Nagar,2.0,2
154,242.0,1565,Anna Nagar,3.0,1
155,62.59,963,Anna Nagar,2.0,2
156,150.0,1161,Anna Nagar,2.0,2
157,63.96,984,Anna Nagar,2.0,2
158,69.48,1069,Anna Nagar,4.0,2
160,63.89,983,Anna Nagar,3.0,2
161,63.96,984,Anna Nagar,5.0,1
162,64.61,994,Anna Nagar,2.0,2
163,63.96,984,Anna Nagar,6.0,2
165,220.0,2062,Anna Nagar,2.0,4
166,220.0,2062,Anna Nagar,4.0,2
167,210.0,2062,Anna Nagar,3.0,3
168,155.0,1555,Anna Nagar,2.0,2
169,63.89,983,Anna Nagar,2.0,2
170,68.31,1051,Anna Nagar,2.0,2
172,62.59,963,Anna Nagar,2.0,2
174,65.65,1010,Anna Nagar,2.0,2
175,66.36,1021,Anna Nagar,2.0,2
176,245.0,2062,Anna Nagar,2.0,3
177,156.0,1161,Anna Nagar,2.0,3
178,205.0,1283,Anna Nagar,2.0,2
179,223.0,1748,Anna Nagar,3.0,3
180,254.0,1610,Anna Nagar,6.0,2
181,254.0,1610,Anna Nagar,2.0,2
182,248.0,1375,Anna Nagar,2.0,3
183,248.0,1375,Anna Nagar,2.0,4
184,163.99999,1215,Anna Nagar,3.0,3
185,163.99999,1215,Anna Nagar,2.0,3
186,200.0,1215,Anna Nagar,4.0,3
188,200.99999,2050,Anna Nagar,2.0,3
191,219.0,1020,Anna Nagar,2.0,2
195,135.0,2661,Anna Nagar,2.0,3
197,102.0,1150,Anna Nagar,2.0,2
200,230.0,1150,Anna Nagar,2.0,2
202,64.09999,1603,Avadi,2.0,2
203,64.09999,1603,Avadi,2.0,2
205,27.5,677,Avadi,3.0,1
208,37.0,892,Avadi,2.0,2
210,24.95,677,Avadi,3.0,1
211,42.3,1055,Avadi,4.0,1
213,24.75,677,Avadi,2.0,1
214,24.8,677,Avadi,2.0,1
215,42.0,1054,Avadi,2.0,3
216,42.3,1055,Avadi,2.0,3
217,24.5,570,Avadi,2.0,1
221,40.0,815,Avadi,2.0,1
222,43.0,910,Avadi,3.0,2
223,44.26,1107,Avadi,3.0,3
224,57.86,1447,Avadi,2.0,2
225,22.79,570,Avadi,2.0,1
226,65.86,1647,Avadi,2.0,4
227,49.14,1229,Avadi,2.0,2
228,42.26,1057,Avadi,2.0,3
229,62.66,1567,Avadi,3.0,2
230,42.26,1057,Avadi,4.0,2
231,62.66,1567,Avadi,5.0,4
232,57.86,1447,Avadi,2.0,4
233,65.86,1647,Avadi,1.0,4
234,49.14,1229,Avadi,2.0,2
238,27.25,645,Avadi,3.0,1
239,25.0,700,Avadi,3.0,1
240,31.95,841,Avadi,2.0,2
241,33.52,910,Avadi,3.0,2
242,39.36999,810,Avadi,4.0,2
243,41.17,875,Avadi,4.0,2
245,36.0,639,Avadi,2.0,2
246,39.74,915,Avadi,3.0,3
247,39.06,840,Avadi,2.0,2
248,38.38,915,Avadi,1.0,1
249,42.92,810,Avadi,3.0,2
250,51.12,910,Avadi,2.0,2
251,36.53,840,Avadi,3.0,2
253,32.44,850,Avadi,3.0,2
254,36.0,850,Avadi,2.0,1
255,53.0,453,Avadi,2.0,1
258,55.0,920,Avadi,2.0,2
259,47.0,656,Avadi,2.0,2
260,49.15,1567,Avadi,2.0,2
261,35.19,734,Avadi,3.0,2
262,65.0,1131,Ayanambakkam,2.0,3
263,65.0,1159,Ayanambakkam,3.0,3
264,64.98999,1159,Ayanambakkam,2.0,3
265,55.06,1131,Ayanambakkam,3.0,2
266,64.98999,1159,Ayanambakkam,2.0,2
271,46.76,1744,Ayanambakkam,2.0,1
272,46.67,1746,Ayanambakkam,8.0,2
273,46.54,1046,Ayanambakkam,2.0,2
275,46.94,1043,Ayanambakkam,2.0,2
277,46.04,1050,Ayanambakkam,2.0,2
278,46.49,1049,Ayanambakkam,3.0,1
283,64.8,953,Ayanambakkam,2.0,3
285,65.70999,951,Ayanambakkam,2.0,2
286,41.93,933,Ayanambakkam,2.0,1
288,41.7,927,Ayanambakkam,2.0,1
290,46.76,1744,Ayanambakkam,2.0,2
294,46.94,1043,Ayanambakkam,3.0,1
296,46.04,1050,Ayanambakkam,2.0,2
297,46.49,1049,Ayanambakkam,2.0,2
302,42.51,953,Ayanambakkam,2.0,1
304,45.73,951,Ayanambakkam,3.0,2
306,55.41,1023,Ayanambakkam,2.0,2
308,65.0,1191,Ayapakkam,3.0,2
309,64.0,1191,Ayapakkam,3.0,3
310,64.0,1183,Ayapakkam,1.0,3
311,57.05,1331,Ayapakkam,2.0,3
312,56.91,1244,Ayapakkam,3.0,2
313,55.97,1214,Ayapakkam,1.0,3
314,55.0,1211,Ayapakkam,2.0,2
315,86.44,1017,Choolaimedu,3.0,3
316,86.44,1017,Choolaimedu,2.0,3
317,86.44,1017,Choolaimedu,2.0,3
318,72.16,849,Choolaimedu,3.0,1
