,area_type,total_sqft,bathrooms,price,bhk
2,Built-up Area,600.0,1.0,1.5,1
3,Built-up Area,1610.0,3.0,8.1,3
4,Built-up Area,1925.0,3.0,12.5,3
6,Built-up Area,1296.0,2.0,8.1,2
9,Built-up Area,3210.0,2.0,19.2,4
11,Built-up Area,3000.0,8.0,14.0,8
12,Built-up Area,2511.0,3.0,20.5,3
14,Built-up Area,3203.5,2.0,22.45,4
15,Built-up Area,3000.0,7.0,21.0,6
16,Built-up Area,1000.0,2.0,7.0,2
17,Built-up Area,1200.0,2.0,6.5,2
18,Built-up Area,1200.0,3.0,9.0,3
20,Built-up Area,1630.0,2.0,9.8,3
21,Built-up Area,782.0,2.0,5.568,2
22,Built-up Area,3700.0,4.0,22.5,4
23,Built-up Area,2497.0,3.0,14.0,3
24,Built-up Area,2650.0,4.0,15.0,4
27,Built-up Area,1870.0,3.0,11.0,3
28,Built-up Area,950.0,2.0,5.7,2
29,Built-up Area,5000.0,8.0,25.0,8
31,Built-up Area,4200.0,4.0,42.0,4
32,Built-up Area,1060.0,2.0,6.0,2
37,Built-up Area,1783.0,3.0,11.5,3
41,Built-up Area,1798.0,3.0,8.9,3
44,Built-up Area,1080.0,2.0,7.2,2
47,Built-up Area,1060.0,2.0,6.0,2
48,Built-up Area,1060.0,2.0,5.5,2
49,Built-up Area,1280.0,2.0,6.9,2
52,Built-up Area,883.0,2.0,4.5,2
54,Built-up Area,1420.0,2.0,10.0,3
55,Built-up Area,1490.0,3.0,7.88,3
58,Built-up Area,1645.0,3.0,9.5,3
60,Built-up Area,1850.0,3.0,15.0,3
62,Built-up Area,500.0,1.0,1.85,1
63,Built-up Area,1205.0,2.0,6.6,2
66,Built-up Area,1451.0,2.0,9.0,2
69,Built-up Area,1580.0,2.0,13.4,3
70,Built-up Area,1245.0,2.0,9.4,2
74,Built-up Area,1656.0,2.0,12.0,2
75,Built-up Area,1760.0,3.0,8.8,3
77,Built-up Area,985.0,2.0,6.7,2
78,Built-up Area,1194.0,2.0,6.9,2
79,Built-up Area,630.0,1.0,3.465,1
80,Built-up Area,3309.0,4.0,32.5,4
81,Built-up Area,1020.0,2.0,6.3,2
83,Built-up Area,1200.0,2.0,6.2,2
87,Built-up Area,375.0,2.0,2.6,1
88,Built-up Area,700.0,1.0,4.1,1
90,Built-up Area,1595.0,3.0,11.5,3
91,Built-up Area,1200.0,2.0,8.5,1
92,Built-up Area,1867.0,3.0,16.0,3
93,Built-up Area,1768.0,3.0,10.1,3
94,Built-up Area,1325.0,2.0,9.0,3
100,Built-up Area,4144.0,4.0,31.5,4
102,Built-up Area,540.0,1.0,3.6,1
103,Built-up Area,1419.0,3.0,7.5,3
104,Built-up Area,1630.0,3.0,8.5,3
105,Built-up Area,834.0,1.0,6.0,1
110,Built-up Area,1374.0,2.0,9.5,2
114,Built-up Area,3385.0,5.0,26.0,4
115,Built-up Area,2200.0,4.0,20.0,4
116,Built-up Area,1702.0,3.0,13.0,3
117,Built-up Area,1200.0,2.0,7.0,3
118,Built-up Area,4046.0,4.0,44.5,4
120,Built-up Area,2300.0,3.0,12.0,3
124,Built-up Area,2264.0,3.0,15.9,3
125,Built-up Area,1050.0,2.0,7.1,2
126,Built-up Area,1823.0,3.0,10.0,3
128,Built-up Area,1590.0,2.0,12.5,3
130,Built-up Area,1020.0,2.0,5.2,2
131,Built-up Area,425.0,1.0,2.003,1
133,Built-up Area,1875.0,2.0,11.0,3
134,Built-up Area,1105.0,2.0,5.8,2
137,Built-up Area,1176.0,2.0,6.2,2
138,Built-up Area,1717.0,3.0,9.9,3
139,Built-up Area,1157.0,2.0,8.4,2
140,Built-up Area,650.0,1.0,3.3,1
142,Built-up Area,918.0,2.0,5.049,2
143,Built-up Area,1375.0,3.0,7.5,3
144,Built-up Area,1447.0,2.0,8.3,2
148,Built-up Area,1142.0,2.0,7.0,2
153,Built-up Area,1320.0,3.0,6.5,3
154,Built-up Area,1740.0,2.0,9.5,3
157,Built-up Area,3300.0,5.0,24.0,5
159,Built-up Area,1897.0,3.0,13.0,3
160,Built-up Area,2238.0,3.0,14.0,3
161,Built-up Area,3800.0,4.0,23.9,4
163,Built-up Area,793.0,2.0,4.5,2
164,Built-up Area,884.0,1.0,5.8,2
165,Built-up Area,1799.0,3.0,9.0,3
166,Built-up Area,400.0,1.0,1.1,1
167,Built-up Area,1047.0,2.0,8.2,2
168,Built-up Area,3260.0,4.0,24.0,4
169,Built-up Area,1500.0,2.0,9.5,3
171,Built-up Area,530.0,1.0,2.0,1
172,Built-up Area,1113.0,2.0,6.2,2
173,Built-up Area,650.0,2.0,4.2,2
176,Built-up Area,1425.0,2.0,8.0,2
177,Built-up Area,1255.0,2.0,6.7,2
181,Built-up Area,400.0,1.0,1.2,1
