price,sqft,location,bathrooms,bhk,area_type
10500000,1200,Sector 10 Dwarka,2,1,Super built-up Area
6000000,1000,Uttam Nagar,5,3,Plot Area
15000000,1350,Sarita Vihar,2,3,Built-up Area
2500000,435,Uttam Nagar,3,2,Super built-up Area
5800000,900,Dwarka Mor,2,4,Super built-up Area
15800000,1800,Sector 7 Dwarka,2,8,Super built-up Area
15400000,1500,Sector 6 Dwarka,4,3,Super built-up Area
13500000,1800,Sector 5 Dwarka,4,4,Super built-up Area
6500000,1000,Sector 23 Rohini,3,6,Super built-up Area
12500000,1300,Mayur Vihar II,6,2,Plot Area
11000000,1000,Sector 24 Rohini,2,2,Super built-up Area
12500000,1550,Sector 11 Dwarka,5,3,Plot Area
14800000,1800,Sector 23 Dwarka,2,3,Super built-up Area
12500000,600,Sector 12 Dwarka,2,2,Built-up Area
3300000,385,Sector 23 Dwarka,3,4,Plot Area
110000000,2500,West End,2,3,Super built-up Area
5000000,1000,Dwarka Mor,3,4,Super built-up Area
17500000,1300,Sector 9 Rohini,3,3,Super built-up Area
3600000,1050,Mundka,4,2,Super built-up Area
16500000,1600,Sector 6 Dwarka,2,8,Super built-up Area
10500000,1200,Sector 10 Dwarka,1,4,Built-up Area
6000000,1000,Uttam Nagar,3,2,Super built-up Area
15000000,1350,Sarita Vihar,5,3,Plot Area
2500000,435,Uttam Nagar,3,3,Super built-up Area
5800000,900,Dwarka Mor,1,2,Super built-up Area
15800000,1800,Sector 7 Dwarka,3,2,Super built-up Area
15400000,1500,Sector 6 Dwarka,1,2,Super built-up Area
13500000,1800,Sector 5 Dwarka,3,2,Built-up Area
6500000,1000,Sector 23 Rohini,2,2,Super built-up Area
12500000,1300,Mayur Vihar II,2,3,Super built-up Area
11000000,1000,Sector 24 Rohini,4,3,Super built-up Area
12500000,1550,Sector 11 Dwarka,2,3,Super built-up Area
14800000,1800,Sector 23 Dwarka,2,3,Super built-up Area
12500000,600,Sector 12 Dwarka,3,1,Super built-up Area
3300000,385,Sector 23 Dwarka,3,2,Built-up Area
110000000,2500,West End,2,2,Super built-up Area
5000000,1000,Dwarka Mor,2,3,Super built-up Area
17500000,1300,Sector 9 Rohini,3,2,Super built-up Area
3600000,1050,Mundka,2,2,Super built-up Area
16500000,1600,Sector 6 Dwarka,2,3,Built-up Area
12500000,1000,Sector 13 Rohini,2,2,Built-up Area
2750000,630,Jamia Nagar,3,2,Super built-up Area
23500000,2000,Sector 19 Dwarka,1,1,Super built-up Area
16200000,1600,Sector 10 Dwarka,1,4,Plot Area
13500000,1350,Sector 24 Rohini,2,2,Super built-up Area
5500000,1000,Uttam Nagar,9,2,Plot Area
