,price,sqft,location,bathrooms,bhk
3,190.0,1450,Alaknanda,4.0,4
4,190.0,1450,Alaknanda,3.0,3
7,187.0,1450,Alaknanda,1.0,4
8,183.0,1400,Alaknanda,1.0,3
12,185.0,1450,Alaknanda,5.0,4
13,189.0,1450,Alaknanda,2.0,3
14,196.0,1450,Alaknanda,3.0,3
16,215.0,1650,Alaknanda,2.0,1
17,190.0,1550,Alaknanda,2.0,2
19,229.0,1650,Alaknanda,3.0,2
20,205.0,1450,Alaknanda,2.0,2
25,195.0,1450,Alaknanda,4.0,4
26,195.0,1650,Alaknanda,2.0,1
30,170.0,1250,Alaknanda,3.0,1
31,195.0,1650,Alaknanda,4.0,3
34,175.0,1350,Alaknanda,2.0,4
35,195.0,1650,Alaknanda,1.0,3
36,175.0,1350,Alaknanda,4.0,1
37,185.0,1400,Alaknanda,3.0,3
38,210.0,1550,Alaknanda,3.0,4
39,180.0,1500,Alaknanda,4.0,2
41,205.0,1350,Alaknanda,1.0,3
42,140.0,1550,Alaknanda,3.0,2
43,199.0,1150,Alaknanda,2.0,3
44,190.0,1150,Alaknanda,6.0,3
45,190.0,1400,Alaknanda,1.0,2
47,185.0,1300,Alaknanda,4.0,3
48,200.99999,1550,Alaknanda,5.0,2
49,190.0,1450,Alaknanda,2.0,2
51,225.0,1550,Alaknanda,2.0,2
52,152.0,1350,Alaknanda,2.0,2
54,165.0,1200,Alaknanda,2.0,2
56,140.0,1850,Alaknanda,2.0,2
57,200.0,1300,Alaknanda,5.0,1
58,175.0,1200,Alaknanda,4.0,2
59,160.0,1500,Alaknanda,2.0,2
60,50.0,516,Badarpur,4.0,1
61,35.99,516,Badarpur,2.0,1
63,28.0,900,Bharat Vihar,9.0,3
64,28.0,630,Bharat Vihar,2.0,2
65,28.0,900,Bharat Vihar,4.0,3
66,27.0,650,Bharat Vihar,1.0,2
67,36.0,990,Bharat Vihar,3.0,3
68,35.0,990,Bharat Vihar,2.0,1
69,39.0,900,Bharat Vihar,3.0,1
70,28.0,1050,Bharat Vihar,2.0,2
71,27.2,680,Bharat Vihar,2.0,2
72,36.5,630,Bharat Vihar,2.0,2
74,36.0,990,Bharat Vihar,2.0,3
75,20.0,990,Bharat Vihar,1.0,2
76,38.0,675,Bindapur,3.0,1
77,55.0,900,Bindapur,4.0,3
78,45.0,900,Bindapur,2.0,2
79,27.0,550,Bindapur,2.0,1
80,45.0,800,Bindapur,3.0,2
81,56.0,810,Bindapur,2.0,2
82,43.99,900,Bindapur,2.0,3
83,27.0,810,Bindapur,4.0,2
84,65.0,1100,Bindapur,2.0,3
85,38.0,810,Bindapur,2.0,2
86,22.0,650,Bindapur,2.0,2
87,40.0,720,Bindapur,2.0,1
88,40.0,720,Bindapur,2.0,2
89,40.0,720,Bindapur,2.0,1
90,30.0,720,Bindapur,2.0,2
91,25.0,720,Bindapur,3.0,2
93,45.0,900,Burari,2.0,1
94,32.0,750,Burari,2.0,1
99,42.0,1000,Burari,2.0,2
104,31.0,750,Burari,3.0,1
105,37.0,900,Burari,2.0,2
106,47.0,990,Burari,2.0,3
107,45.0,900,Burari,2.0,3
108,44.0,954,Burari,3.0,3
109,45.0,900,Burari,2.0,2
110,45.0,900,Burari,2.0,3
111,45.0,900,Burari,2.0,3
112,34.0,774,Burari,6.0,1
113,43.0,900,Burari,2.0,2
115,33.0,720,Burari,2.0,1
116,44.0,900,Burari,2.0,3
118,40.0,774,Burari,3.0,2
121,40.0,900,Burari,2.0,3
122,46.0,900,Burari,4.0,2
123,47.0,900,Burari,3.0,3
124,46.0,900,Burari,3.0,1
125,45.0,900,Burari,4.0,1
127,45.0,900,Burari,2.0,1
128,45.0,900,Burari,3.0,3
129,38.0,900,Burari,2.0,3
130,30.0,612,Burari,2.0,1
131,31.0,675,Burari,2.0,1
132,31.0,675,Burari,4.0,1
133,40.0,900,Burari,9.0,2
134,45.0,990,Burari,2.0,2
135,45.0,900,Burari,2.0,3
136,45.0,900,Burari,2.0,2
137,30.0,585,Burari,2.0,1
138,42.0,810,Burari,2.0,1
139,42.0,1000,Burari,3.0,2
140,33.0,675,Burari,14.0,1
141,85.0,1800,Chattarpur,2.0,1
147,160.0,2600,Chattarpur,3.0,3
148,60.0,1350,Chattarpur,2.0,2
149,55.0,1300,Chattarpur,2.0,2
151,44.0,1450,Chattarpur,2.0,2
158,28.0,850,Chattarpur,3.0,2
161,43.0,1400,Chattarpur,2.0,2
162,46.99,1300,Chattarpur,2.0,2
163,108.0,1300,Chattarpur,4.0,2
165,55.0,1337,Chattarpur,4.0,2
167,198.0,668,Chattarpur,2.0,2
168,160.0,1350,Chattarpur,2.0,3
