price,sqft,location,bathrooms,bhk,area_type
6968000,1340,Nizampet,2,1,Super built-up Area
29000000,3498,Hitech City,5,3,Plot Area
6590000,1318,Manikonda,2,3,Built-up Area
5739000,1295,Alwal,3,2,Super built-up Area
5679000,1145,Kukatpally,2,4,Super built-up Area
6099000,1230,Nizampet,2,8,Super built-up Area
7000000,1350,Manikonda,4,3,Super built-up Area
4198000,1400,Gachibowli,4,4,Super built-up Area
9900000,2240,Tellapur,3,6,Super built-up Area
9800000,1520,Gachibowli,6,2,Plot Area
8903000,1535,Kokapet,2,2,Super built-up Area
6300000,1150,Hyder Nagar,5,3,Plot Area
6300000,1285,Mehdipatnam,2,3,Super built-up Area
9000000,1897,Tellapur,2,2,Built-up Area
11100000,1725,Narsingi,3,4,Plot Area
11500000,1665,Khajaguda Nanakramguda Road,2,3,Super built-up Area
10900000,1592,Kukatpally,3,4,Super built-up Area
8625000,1150,Madhapur,3,3,Super built-up Area
9900000,2240,Tellapur,4,2,Super built-up Area
3900000,1050,Puppalaguda,2,8,Super built-up Area
6968000,1340,Nizampet,1,4,Built-up Area
29000000,3498,Hitech City,3,2,Super built-up Area
6590000,1318,Manikonda,5,3,Plot Area
5739000,1295,Alwal,3,3,Super built-up Area
5679000,1145,Kukatpally,1,2,Super built-up Area
6099000,1230,Nizampet,3,2,Super built-up Area
7000000,1350,Manikonda,1,2,Super built-up Area
4198000,1400,Gachibowli,3,2,Built-up Area
9900000,2240,Tellapur,2,2,Super built-up Area
9800000,1520,Gachibowli,2,3,Super built-up Area
8903000,1535,Kokapet,4,3,Super built-up Area
6300000,1150,Hyder Nagar,2,3,Super built-up Area
6300000,1285,Mehdipatnam,2,3,Super built-up Area
9000000,1897,Tellapur,3,1,Super built-up Area
11100000,1725,Narsingi,3,2,Built-up Area
11500000,1665,Khajaguda Nanakramguda Road,2,2,Super built-up Area
10900000,1592,Kukatpally,2,3,Super built-up Area
8625000,1150,Madhapur,3,2,Super built-up Area
9900000,2240,Tellapur,2,2,Super built-up Area
3900000,1050,Puppalaguda,2,3,Built-up Area
7800000,1735,Puppalaguda,2,2,Built-up Area
19600000,2800,Narsingi,3,2,Super built-up Area
6050000,1050,Begumpet,1,1,Super built-up Area
6150000,1230,Kukatpally,1,4,Plot Area
5000000,1175,Nizampet,2,2,Super built-up Area
4760000,1190,Nizampet,9,2,Plot Area
30000000,2956,Banjara Hills,2,1,Super built-up Area
2500000,680,AS Rao Nagar,2,1,Super built-up Area
5900000,1350,Pragathi Nagar Kukatpally,1,3,Plot Area
9700000,1970,Miyapur,2,1,Built-up Area
4641000,1105,Mallampet,2,3,Super built-up Area
16000000,2005,Nanakramguda,3,3,Super built-up Area
4641000,1105,Mallampet,3,3,Built-up Area
7500000,1406,Attapur,2,4,Super built-up Area
