,price,sqft,location,bathrooms,bhk
0,28.0,1400,Adibatla,2.0,4
1,28.0,1400,Adibatla,2.0,3
2,22.0,1050,Adibatla,2.0,2
3,28.0,1200,Adibatla,2.0,3
4,22.0,1000,Adibatla,2.0,3
5,25.0,1100,Adibatla,3.0,2
6,23.04,1002,Adibatla,6.0,2
7,23.0,1000,Adibatla,2.0,3
8,37.42,1134,Adibatla,2.0,3
9,25.36,710,Adibatla,2.0,2
10,57.39,1295,Alwal,3.0,2
11,57.39,1295,Alwal,3.0,3
12,61.4,1545,Alwal,2.0,1
13,48.4,1210,Alwal,3.0,2
14,48.8,1220,Alwal,2.0,3
15,55.0,1575,Alwal,4.0,2
16,45.8,1145,Alwal,2.0,3
17,45.8,1145,Alwal,4.0,3
18,57.0,1425,Alwal,7.0,2
19,50.85,1130,Alwal,4.0,3
20,53.2,1330,Alwal,2.0,3
21,54.5,1300,Alwal,2.0,1
22,54.5,1300,Alwal,2.0,3
23,62.2,1555,Alwal,4.0,4
24,43.2,1080,Alwal,2.0,3
25,44.0,1100,Aminpur,2.0,3
26,44.0,1100,Aminpur,3.0,3
27,44.0,1100,Aminpur,3.0,2
28,44.0,1100,Aminpur,3.0,1
29,44.0,1100,Aminpur,1.0,2
30,44.0,1100,Aminpur,2.0,1
31,44.0,1100,Aminpur,2.0,2
32,44.0,1100,Aminpur,2.0,3
33,44.0,1100,Aminpur,2.0,2
34,44.0,1100,Aminpur,2.0,2
35,44.0,1100,Aminpur,2.0,2
38,39.0,1150,Aminpur,3.0,2
42,89.98,1390,Appa Junction,2.0,2
43,89.98,1390,Appa Junction,3.0,2
45,88.0,1385,Appa Junction,2.0,2
46,90.0,1568,Appa Junction,5.0,5
48,92.98,1638,Appa Junction,2.0,3
49,93.0,1638,Appa Junction,8.0,1
50,90.0,1390,Appa Junction,2.0,2
53,94.0,1430,Appa Junction,6.0,2
54,94.0,1430,Appa Junction,2.0,3
55,94.0,1430,Appa Junction,8.0,2
56,94.0,1430,Appa Junction,2.0,2
58,92.98,1638,Appa Junction,2.0,1
59,93.0,1638,Appa Junction,2.0,4
60,90.0,1568,Appa Junction,3.0,2
61,90.0,1568,Appa Junction,3.0,2
62,92.4,1482,Appa Junction Peerancheru,3.0,2
63,88.0,1385,Appa Junction Peerancheru,1.0,3
64,76.14,1554,Appa Junction Peerancheru,3.0,1
65,79.77,1628,Appa Junction Peerancheru,1.0,3
66,87.41,1784,Appa Junction Peerancheru,2.0,4
67,87.61,1788,Appa Junction Peerancheru,2.0,4
68,73.59,1502,Appa Junction Peerancheru,2.0,3
69,83.64,1707,Appa Junction Peerancheru,2.0,3
71,72.86,1487,Appa Junction Peerancheru,6.0,1
72,80.01,1633,Appa Junction Peerancheru,2.0,2
73,88.2,1800,Appa Junction Peerancheru,3.0,1
74,91.97,1877,Appa Junction Peerancheru,2.0,3
75,74.67,1524,Appa Junction Peerancheru,2.0,2
76,71.78,1465,Appa Junction Peerancheru,2.0,3
77,78.25,1597,Appa Junction Peerancheru,3.0,3
78,75.0,1406,Attapur,2.0,4
79,75.0,1406,Attapur,2.0,3
80,65.0,1480,Attapur,3.0,4
81,65.0,1480,Attapur,4.0,3
82,65.0,1361,Attapur,3.0,2
83,83.83,1950,Attapur,5.0,3
84,83.87,1951,Attapur,2.0,6
85,83.87,1951,Attapur,1.0,2
86,83.83,1950,Attapur,2.0,3
87,63.23,1471,Attapur,2.0,4
88,63.19,1470,Attapur,3.0,4
89,63.19,1470,Attapur,2.0,4
90,84.04,1955,Attapur,2.0,4
91,75.0,1100,Attapur,3.0,2
92,78.72,1675,Bachupally,2.0,2
93,29.99,1150,Bachupally,3.0,1
94,78.72,1675,Bachupally,4.0,3
95,75.9,1615,Bachupally,2.0,2
96,54.52,1160,Bachupally,2.0,2
97,84.59,1800,Bachupally,2.0,1
98,56.4,1200,Bachupally,5.0,3
100,35.5,1130,Bachupally,2.0,2
102,46.8,1200,Bachupally,3.0,1
104,43.4,1150,Bachupally,2.0,2
105,55.1,1475,Bachupally,3.0,2
109,48.36,1240,Bachupally,3.0,2
112,62.4,1600,Bachupally,2.0,1
114,65.0,1450,Bachupally,4.0,2
116,38.29999,1100,Bachupally,6.0,2
118,41.58,1155,Bachupally Road,3.0,1
119,41.58,1155,Bachupally Road,2.0,1
120,41.58,1155,Bachupally Road,2.0,3
121,42.39,1175,Bachupally Road,2.0,1
122,41.58,1155,Bachupally Road,1.0,3
123,41.58,1155,Bachupally Road,3.0,3
124,41.58,1155,Bachupally Road,2.0,1
125,42.36,1175,Bachupally Road,3.0,2
126,42.36,1175,Bachupally Road,2.0,3
127,42.3,1175,Bachupally Road,3.0,3
128,41.58,1155,Bachupally Road,2.0,3
129,41.58,1155,Bachupally Road,5.0,3
130,41.58,1155,Bachupally Road,4.0,2
131,42.39,1175,Bachupally Road,3.0,1
132,42.3,1175,Bachupally Road,2.0,3
133,41.58,1155,Bachupally Road,2.0,3
134,41.58,1155,Bachupally Road,2.0,3
135,41.58,1155,Bachupally Road,7.0,3
136,42.36,1175,Bachupally Road,4.0,2
137,41.58,1155,Bachupally Road,3.0,3
138,41.58,1155,Bachupally Road,3.0,3
139,41.58,1155,Bachupally Road,2.0,2
140,42.36,1175,Bachupally Road,3.0,3
141,41.58,1220,Bachupally Road,2.0,3
142,41.58,1155,Bachupally Road,2.0,3
143,41.58,1155,Bachupally Road,2.0,3
144,41.58,1155,Bachupally Road,3.0,2
145,42.36,1175,Bachupally Road,2.0,3
146,41.58,1155,Bachupally Road,2.0,3
147,42.3,1175,Bachupally Road,4.0,3
148,41.58,1155,Bachupally Road,4.0,3
149,74.0,1530,Balanagar,2.0,1
150,76.0,1520,Balanagar,2.0,2
151,82.75,1655,Balanagar,3.0,3
