price,sqft,location,bathrooms,bhk,area_type
2235000,1016,Barasat,2,1,Super built-up Area
3665999,1111,Keshtopur,5,3,Plot Area
3774000,1020,Rajarhat,2,3,Built-up Area
2524000,935,Narendrapur,3,2,Super built-up Area
8300000,1956,New Town,2,4,Super built-up Area
3761000,1179,Joka,2,8,Super built-up Area
9727000,1107,Tangra,4,3,Super built-up Area
3372999,1041,Sonarpur,4,4,Super built-up Area
3990999,1174,Sonarpur,3,6,Super built-up Area
4629000,1342,Madhyamgram,6,2,Plot Area
13000000,2210,Dum Dum,2,2,Super built-up Area
3611000,973,New Town,5,3,Plot Area
3300000,735,New Town,2,3,Super built-up Area
3475000,1086,Chkravarti Para,2,2,Built-up Area
3765999,837,Tollygunge,3,4,Plot Area
3200000,710,Sarsuna,2,3,Super built-up Area
3850000,770,Ultadanga,3,4,Super built-up Area
17600000,1965,Madurdaha Hussainpur,3,3,Super built-up Area
9639000,1377,New Alipore,4,2,Super built-up Area
45000000,5000,Mukundapur,2,8,Super built-up Area
2235000,1016,Barasat,1,4,Built-up Area
3665999,1111,Keshtopur,3,2,Super built-up Area
3774000,1020,Rajarhat,5,3,Plot Area
2524000,935,Narendrapur,3,3,Super built-up Area
8300000,1956,New Town,1,2,Super built-up Area
3761000,1179,Joka,3,2,Super built-up Area
9727000,1107,Tangra,1,2,Super built-up Area
3372999,1041,Sonarpur,3,2,Built-up Area
3990999,1174,Sonarpur,2,2,Super built-up Area
4629000,1342,Madhyamgram,2,3,Super built-up Area
13000000,2210,Dum Dum,4,3,Super built-up Area
3611000,973,New Town,2,3,Super built-up Area
3300000,735,New Town,2,3,Super built-up Area
3475000,1086,Chkravarti Para,3,1,Super built-up Area
3765999,837,Tollygunge,3,2,Built-up Area
3200000,710,Sarsuna,2,2,Super built-up Area
3850000,770,Ultadanga,2,3,Super built-up Area
17600000,1965,Madurdaha Hussainpur,3,2,Super built-up Area
9639000,1377,New Alipore,2,2,Super built-up Area
45000000,5000,Mukundapur,2,3,Built-up Area
5300000,1010,Kutighat,2,2,Built-up Area
7500000,1465,New Town,3,2,Super built-up Area
2400000,755,New Town,1,1,Super built-up Area
3488000,872,Dum Dum,1,4,Plot Area
4314000,1113,Behala,2,2,Super built-up Area
2959000,1345,Sodepur,9,2,Plot Area
3132000,1305,Konnagar,2,1,Super built-up Area
2852000,920,Uttarpara Kotrung,2,1,Super built-up Area
2600000,800,Baguiati,1,3,Plot Area
2362000,852,Hooghly Chinsurah,2,1,Built-up Area
8500000,1080,New Town,2,3,Super built-up Area
7000000,1530,Hussainpur,3,3,Super built-up Area
9200000,1217,Dum Dum Park,3,3,Built-up Area
3200000,1200,Barasat,2,4,Super built-up Area
8000000,1480,New Town,2,1,Super built-up Area
7500000,1900,Rajarhat,2,3,Super built-up Area
2574000,858,Dum Dum,,3,Built-up Area
2187000,875,Bhadreswar,2,1,Super built-up Area
11000000,1920,Dum Dum,4,2,Plot Area
7936000,1310,Dum Dum,2,4,Super built-up Area
7300000,1319,New Town,3,4,Plot Area
2350000,630,Garia,2,3,Super built-up Area
4600000,1080,New Town,5,3,Plot Area
5124000,1281,south dum dum,2,4,Built-up Area
2099000,734,Rajarhat,8,3,Built-up Area
2100000,350,Santoshpur,2,3,Super built-up Area
4025000,1150,Behala,2,2,Super built-up Area
7187000,1753,Rajarhat,2,3,Super built-up Area
11000000,1200,Gariahat,7,3,Plot Area
3399000,1214,Uttarpara Kotrung,2,2,Super built-up Area
8200000,1200,Lake Gardens,3,1,Plot Area
7500000,900,Rajarhat,2,3,Super built-up Area
2250000,750,Rajarhat,3,2,Super built-up Area
4100000,750,New Town,2,2,Super built-up Area
24000000,3866,New Town,3,3,Super built-up Area
5400000,915,Kalighat,2,2,Super built-up Area
4400000,1270,Garia,2,1,Super built-up Area
3000000,1100,Belghoria,3,2,Built-up Area
12000000,800,Garia,1,3,Built-up Area
7500000,1753,Tangra,6,2,Built-up Area
5000000,1500,Tagore Park,2,2,Super built-up Area
3200000,1452,Kamardanga,,3,Built-up Area
3850000,753,New Town,2,3,Super built-up Area
6800000,1100,Rajarhat,2,5,Super built-up Area
4650000,1256,Mukundapur,5,3,Super built-up Area
2300000,1030,Tollygunge,7,3,Built-up Area
19000000,850,Mukundapur,3,4,Super built-up Area
2500000,1631,Ballygunge,2,2,Super built-up Area
3420000,815,Keshtopur,2,2,Super built-up Area
6100000,855,Purba Putiary,6,3,Plot Area
5572000,1460,New Town,2,1,Built-up Area
7200000,1506,Ariadaha,2,2,Super built-up Area
2000000,1256,Garia,2,4,Super built-up Area
4342000,910,Rahara,4,3,Plot Area
6500000,852,Behala,2,1,Super built-up Area
5800000,1300,Kasba,3,2,Super built-up Area
7200000,1259,New Town,4,2,Plot Area
6200000,1350,New Town,2,2,Super built-up Area
5100000,1337,New Town,2,2,Built-up Area
2000000,1359,Sodepur,3,1,Built-up Area
13000000,845,Paschim Putiary,3,5,Super built-up Area
4100000,1650,New Alipore,1,3,Built-up Area
5270000,743,New Town,2,4,Plot Area
5935000,1054,Mukundapur,2,3,Super built-up Area
9093000,888,Howrah,2,5,Super built-up Area
3056000,1684,Dum Dum,2,3,Super built-up Area
2400000,970,Barisha Purba Para Road,2,5,Built-up Area
3500000,750,Behala,3,3,Built-up Area
8176000,800,Baguiati,2,3,Built-up Area
2300000,1574,New Town,2,1,Super built-up Area
6500000,750,Kasba,3,1,Super built-up Area
4500000,1270,Mukundapur,2,3,Super built-up Area
3650000,870,Tiljala,2,4,Super built-up Area
2200000,1209,Airport,2,2,Super built-up Area
5900000,950,East Kolkata Township,4,2,Built-up Area
13000000,1300,New Town,3,3,Built-up Area
2300000,2210,Dum Dum,2,3,Super built-up Area
8400000,800,raghunathpur,3,2,Super built-up Area
2101000,1496,Garia,2,3,Super built-up Area
2116000,955,Barasat,3,4,Plot Area
2623000,962,Barasat,3,2,Super built-up Area
3742000,795,Keshtopur,3,3,Super built-up Area
4293000,1134,Keshtopur,4,2,Super built-up Area
4292000,1301,Keshtopur,4,2,Built-up Area
4924000,1160,Rajarhat,2,3,Super built-up Area
3570000,1331,Rajarhat,2,7,Built-up Area
4556000,965,Rajarhat,3,3,Built-up Area
4998000,1340,New Town,2,2,Super built-up Area
4522000,1470,New Town,2,3,Super built-up Area
4539000,1330,New Town,7,2,Plot Area
2495000,1335,New Town,3,2,Built-up Area
2511000,805,Rajarhat,3,2,Plot Area
2480000,810,Rajarhat,1,3,Super built-up Area
2529000,800,Rajarhat,4,1,Plot Area
3574000,816,Rajarhat,3,4,Super built-up Area
3589000,966,Rajarhat,2,3,Built-up Area
3772000,970,Rajarhat,2,3,Super built-up Area
5125000,920,Rajarhat,2,4,Super built-up Area
4469000,1250,Rajarhat,3,2,Super built-up Area
4346000,1090,Rajarhat,2,1,Super built-up Area
2384000,1060,Rajarhat,8,2,Built-up Area
2467000,883,Narendrapur,5,2,Super built-up Area
2290000,914,Narendrapur,3,3,Super built-up Area
5800000,935,Rajarhat,2,4,Super built-up Area
3579000,1250,New Town,2,3,Super built-up Area
2781000,1122,Joka,7,3,Super built-up Area
2644000,872,Joka,3,6,Super built-up Area
2756000,829,Joka,2,1,Super built-up Area
3853000,864,Joka,3,2,Super built-up Area
3636000,1208,Joka,5,2,Plot Area
2615000,1140,Joka,4,3,Super built-up Area
2717000,820,Joka,2,2,Super built-up Area
3802000,852,Joka,2,4,Super built-up Area
2800000,1192,Joka,4,3,Super built-up Area
2596000,878,Joka,2,3,Super built-up Area
2807000,814,Joka,2,3,Super built-up Area
2187000,880,Joka,2,3,Super built-up Area
2800000,750,Chkravarti Para,3,2,Super built-up Area
11000000,1100,Barrackpore,3,3,Super built-up Area
8528000,1285,Tangra,4,3,Plot Area
9754000,972,Tangra,2,2,Built-up Area
5300000,1091,Tangra,2,2,Super built-up Area
2800000,1200,Rajarhat,3,3,Super built-up Area
3124000,1100,Barrackpore,4,2,Built-up Area
2268000,1116,Rajarhat,3,3,Super built-up Area
3297999,810,Rajarhat,2,3,Super built-up Area
3526000,1016,Sonarpur,2,3,Super built-up Area
3556000,1092,Sonarpur,2,4,Super built-up Area
3396000,1046,Sonarpur,2,6,Built-up Area
4039000,999,Sonarpur,2,1,Built-up Area
4035000,1188,Sonarpur,6,2,Super built-up Area
3189000,1187,Sonarpur,1,4,Super built-up Area
3185000,938,Sonarpur,2,2,Super built-up Area
4624000,937,Sonarpur,2,1,Super built-up Area
3964000,1360,Sonarpur,3,4,Super built-up Area
3957000,1166,Sonarpur,3,3,Plot Area
3971000,1164,Sonarpur,3,2,Plot Area
3240000,1168,Sonarpur,1,1,Plot Area
3872000,953,Sonarpur,1,3,Super built-up Area
3233000,1139,Sonarpur,1,2,Built-up Area
4114000,951,Sonarpur,2,4,Super built-up Area
4348000,1210,Sonarpur,3,3,Super built-up Area
4590000,1279,Sonarpur,3,3,Super built-up Area
4270000,1350,Sonarpur,3,2,Super built-up Area
4059000,1256,Sonarpur,2,3,Super built-up Area
3865000,1194,Sonarpur,3,2,Plot Area
4629000,1137,Sonarpur,2,2,Super built-up Area
4560000,1342,Madhyamgram,2,2,Built-up Area
4560000,1322,Madhyamgram,2,2,Super built-up Area
3256000,1322,Madhyamgram,2,3,Super built-up Area
3256000,944,Madhyamgram,4,3,Built-up Area
15600000,944,Madhyamgram,2,3,Super built-up Area
7100000,2520,Dum Dum,5,3,Plot Area
11800000,1150,Dum Dum,7,2,Plot Area
9300000,1920,Dum Dum,2,3,Super built-up Area
10400000,1562,Dum Dum,2,2,Super built-up Area
7936000,1760,Dum Dum,2,4,Super built-up Area
4084000,1310,Dum Dum,3,3,Built-up Area
3324000,1123,New Town,3,3,Super built-up Area
4698000,881,New Town,2,3,Super built-up Area
4100000,1044,New Town,2,2,Super built-up Area
3220000,925,New Town,2,2,Super built-up Area
4658000,1150,Rajarhat,2,1,Built-up Area
5000000,1210,Rajarhat,2,4,Super built-up Area
2985000,1301,Rajarhat,2,1,Built-up Area
4100000,933,Rajarhat,2,2,Super built-up Area
3593000,1066,Rajarhat,3,1,Super built-up Area
5161000,1123,Rajarhat,2,4,Super built-up Area
2325000,1147,Tollygunge,2,1,Built-up Area
4365000,465,Ultadanga,6,2,Plot Area
6570000,970,Lake Town,4,3,Super built-up Area
4167000,1460,Lake Town,3,3,Super built-up Area
4950000,926,Lake Town,3,3,Built-up Area
17800000,1100,Lake Town,3,2,Super built-up Area
17500000,1978,Madurdaha Hussainpur,3,3,Super built-up Area
9359000,1954,Madurdaha Hussainpur,2,3,Super built-up Area
8295000,1304,New Alipore,6,2,Built-up Area
46800000,1185,New Alipore,1,2,Super built-up Area
31700000,5205,Madurdaha Hussainpur,3,3,Super built-up Area
16500000,3528,Madurdaha Hussainpur,3,4,Super built-up Area
47800000,1833,Madurdaha Hussainpur,3,1,Super built-up Area
25800000,5318,Madurdaha Hussainpur,2,3,Super built-up Area
8600000,2867,Madurdaha Hussainpur,4,3,Built-up Area
9500000,2185,New Town,2,3,Super built-up Area
8800000,2052,New Town,,3,Super built-up Area
10500000,1663,New Town,4,1,Super built-up Area
3990999,1909,New Town,2,3,Built-up Area
3990999,1174,Sonarpur,2,3,Plot Area
3556000,1174,Sonarpur,3,1,Super built-up Area
3556000,1046,Sonarpur,2,3,Super built-up Area
3396000,1046,Sonarpur,2,3,Super built-up Area
3396000,999,Sonarpur,2,2,Super built-up Area
4039000,999,Sonarpur,2,1,Super built-up Area
4039000,1188,Sonarpur,2,4,Built-up Area
4035000,1188,Sonarpur,2,3,Super built-up Area
4035000,1187,Sonarpur,2,3,Super built-up Area
3189000,1187,Sonarpur,2,2,Super built-up Area
3189000,938,Sonarpur,3,3,Super built-up Area
3185000,938,Sonarpur,5,2,Built-up Area
3185000,937,Sonarpur,2,3,Built-up Area
4624000,937,Sonarpur,1,4,Super built-up Area
4624000,1360,Sonarpur,8,3,Plot Area
3964000,1360,Sonarpur,1,2,Super built-up Area
3964000,1166,Sonarpur,3,2,Super built-up Area
3957000,1166,Sonarpur,2,4,Super built-up Area
3957000,1164,Sonarpur,3,4,Plot Area
3971000,1164,Sonarpur,2,3,Super built-up Area
3971000,1168,Sonarpur,3,3,Super built-up Area
3240000,1168,Sonarpur,3,2,Plot Area
3240000,953,Sonarpur,3,1,Super built-up Area
3872000,953,Sonarpur,1,2,Super built-up Area
3872000,1139,Sonarpur,2,1,Built-up Area
3233000,1139,Sonarpur,2,2,Super built-up Area
3233000,951,Sonarpur,2,7,Super built-up Area
4114000,951,Sonarpur,2,3,Built-up Area
4114000,1210,Sonarpur,2,2,Plot Area
4348000,1210,Sonarpur,2,4,Built-up Area
4348000,1279,Sonarpur,2,2,Super built-up Area
4590000,1279,Sonarpur,5,1,Plot Area
4590000,1350,Sonarpur,3,2,Super built-up Area
4270000,1350,Sonarpur,3,3,Plot Area
4270000,1256,Sonarpur,3,2,Super built-up Area
4059000,1256,Sonarpur,2,2,Super built-up Area
4059000,1194,Sonarpur,2,3,Super built-up Area
3865000,1194,Sonarpur,2,2,Super built-up Area
3865000,1137,Sonarpur,4,3,Built-up Area
27500000,1137,Sonarpur,3,4,Super built-up Area
57400000,1950,Bhawanipur,2,3,Super built-up Area
57400000,4995,Alipore,1,3,Super built-up Area
52000000,4995,Alipore,3,2,Super built-up Area
8500000,5318,Mukundapur,2,3,Super built-up Area
7613000,1204,Santoshpur,3,3,Super built-up Area
2754000,1333,Rajarhat,2,3,Built-up Area
7800000,765,Rajarhat,2,3,Plot Area
6400000,1788,New Town,2,1,Super built-up Area
2099000,1553,New Town,3,2,Super built-up Area
2599000,655,New Town,2,2,Super built-up Area
3599000,851,New Town,4,3,Plot Area
2667000,1150,New Town,3,2,Super built-up Area
8700000,988,New Town,3,1,Super built-up Area
17100000,1490,Behala,2,4,Built-up Area
18000000,2581,Tangra,2,2,Built-up Area
9000000,1744,Tangra,6,2,Plot Area
32500000,1727,Tangra,3,2,Built-up Area
8800000,3200,Park Street Area,2,3,Super built-up Area
29000000,1727,Tangra,2,2,Super built-up Area
2709000,2900,Tangra,2,3,Built-up Area
2604000,874,New Town,2,3,Super built-up Area
3118000,840,New Town,2,4,Super built-up Area
2703000,1006,New Town,2,3,Super built-up Area
2675000,872,New Town,2,3,Super built-up Area
3949000,863,New Town,2,2,Super built-up Area
2538000,1274,New Town,2,3,Super built-up Area
3565000,819,New Town,2,3,Super built-up Area
2656000,1150,New Town,2,2,Super built-up Area
3134000,857,New Town,2,3,Super built-up Area
2635000,1011,New Town,3,4,Plot Area
2622000,850,New Town,2,2,Carpet Area
2588000,846,New Town,4,5,Super built-up Area
2687000,835,New Town,3,3,Plot Area
3875000,867,New Town,3,2,Super built-up Area
2604000,1250,New Town,2,3,Super built-up Area
3949000,840,New Town,2,2,Super built-up Area
2635000,1274,New Town,3,1,Super built-up Area
2523000,850,New Town,3,4,Super built-up Area
65000000,814,New Town,2,3,Super built-up Area
45000000,4100,Alipore,1,3,Super built-up Area
12700000,2518,Elgin,3,5,Super built-up Area
12700000,1500,New Alipore,4,1,Super built-up Area
20000000,1500,Kalighat,3,3,Super built-up Area
12400000,1500,Kalighat,2,2,Super built-up Area
3424000,2048,Tollygunge,3,1,Super built-up Area
2288000,856,Dum Dum,2,2,Super built-up Area
3268000,572,Dum Dum,3,3,Super built-up Area
3396000,817,Dum Dum,2,3,Super built-up Area
6200000,849,Dum Dum,5,1,Plot Area
2197000,1525,Thakurpukur,2,1,Super built-up Area
2872000,845,Madhyamgram,2,3,Super built-up Area
2631000,1197,Madhyamgram,2,3,Built-up Area
2119000,1012,Madhyamgram,2,2,Super built-up Area
2171000,815,Madhyamgram,2,3,Super built-up Area
2184000,835,Madhyamgram,2,2,Super built-up Area
3086000,840,Madhyamgram,2,3,Plot Area
2173000,1187,Madhyamgram,4,4,Plot Area
3023000,836,Madhyamgram,3,4,Super built-up Area
2805000,1163,Madhyamgram,4,1,Plot Area
