,price,sqft,location,bathrooms,bhk
0,574.0,4995,Alipore,1.0,3
1,520.0,4995,Alipore,3.0,2
2,450.0,4100,Alipore,1.0,3
3,426.0,3391,Alipore,3.0,2
4,111.0,2665,Alipore,5.0,1
6,87.0,5359,Alipore,2.0,2
12,95.0,1609,Alipore,3.0,3
13,115.0,1435,Alipore,2.0,3
14,85.0,1525,Alipore,2.0,3
15,110.0,1709,Alipore,2.0,3
17,56.0,1709,Alipore,4.0,1
18,78.0,3000,Alipore,2.0,3
21,50.0,1919,Alipore,3.0,1
25,135.0,3000,Alipore,6.0,3
27,100.0,1186,Alipore,2.0,3
29,99.96,1360,Alipore,3.0,3
30,47.0,1875,Alipore,2.0,1
31,85.28,2459,Alipore,4.0,2
34,158.0,1703,Alipore,2.0,3
36,65.0,1525,Alipore,2.0,1
39,84.23,1609,Alipore,3.0,3
43,108.0,813,Alipore,4.0,2
45,95.0,5075,Alipore,3.0,3
49,23.0,5000,Alipore,3.0,1
51,110.0,1550,Alipore,2.0,4
52,475.0,3050,Alipore,6.0,3
54,84.0,5359,Alipore,2.0,3
59,84.54,5359,Alipore,1.0,3
60,89.88,5359,Alipore,2.0,3
62,44.61,2525,Alipore,4.0,1
63,175.0,3762,Alipore,7.0,1
64,275.99999,5359,Alipore,3.0,3
65,85.0,5359,Alipore,3.0,2
66,81.0,5359,Alipore,2.0,3
67,30.53,5359,Alipore,3.0,1
70,37.46,5359,Alipore,1.0,1
78,127.0,4527,Alipore,2.0,1
79,85.5,4527,Alipore,3.0,2
80,110.0,4527,Alipore,4.0,3
81,79.43,4527,Alipore,5.0,3
82,105.0,4527,Alipore,2.0,3
84,78.52,4527,Alipore,3.0,2
89,110.0,5359,Alipore,1.0,4
92,105.0,3762,Alipore,2.0,4
93,113.99999,3319,Alipore,4.0,2
102,105.0,5359,Alipore,4.0,1
105,73.95,5359,Alipore,2.0,2
112,30.0,1700,Baguiati,3.0,3
113,27.0,1070,Baguiati,2.0,3
114,67.0,2450,Baguiati,2.0,4
115,36.15999,1040,Baguiati,3.0,3
