price,sqft,location,bathrooms,bhk,area_type
4850000,720,Kharghar,2,1,Super built-up Area
4500000,600,Kharghar,5,3,Plot Area
6700000,650,Kharghar,2,3,Built-up Area
4500000,650,Kharghar,3,2,Super built-up Area
5000000,665,Kharghar,2,4,Super built-up Area
17000000,2000,Kharghar,2,8,Super built-up Area
12500000,1550,Kharghar,4,3,Super built-up Area
10500000,1370,Sector-13 Kharghar,4,4,Super built-up Area
10500000,1356,Kharghar,3,6,Super built-up Area
15000000,1680,Kharghar,6,2,Plot Area
8700000,980,Kharghar,2,2,Super built-up Area
9000000,1000,Kharghar,5,3,Plot Area
11000000,1060,Kharghar,2,3,Super built-up Area
10500000,1095,Kharghar,2,2,Built-up Area
9700000,1155,Kharghar,3,4,Plot Area
10500000,1150,Kharghar,2,3,Super built-up Area
8000000,1250,Sector 18 Kharghar,3,4,Super built-up Area
8500000,990,Kharghar,3,3,Super built-up Area
9300000,1078,Kharghar,4,2,Super built-up Area
9900000,1150,Kharghar,2,8,Super built-up Area
8000000,1150,Kharghar,1,4,Built-up Area
9000000,1060,Kharghar,3,2,Super built-up Area
4200000,680,Kharghar,5,3,Plot Area
28000000,2470,Kharghar,3,3,Super built-up Area
40000000,2100,Kharghar,1,2,Super built-up Area
16000000,2200,Kharghar,3,2,Super built-up Area
17000000,2235,Kharghar,1,2,Super built-up Area
9500000,1025,Kharghar,3,2,Built-up Area
9500000,950,Kharghar,2,2,Super built-up Area
7500000,895,Kharghar,2,3,Super built-up Area
8500000,1114,Kharghar,4,3,Super built-up Area
13000000,1197,Kharghar,2,3,Super built-up Area
13700000,1380,Kharghar,2,3,Super built-up Area
8000000,1050,Kharghar,3,1,Super built-up Area
10500000,1240,Kharghar,3,2,Built-up Area
7700000,1110,Kharghar,2,2,Super built-up Area
7500000,1050,Kharghar,2,3,Super built-up Area
9000000,1160,Kharghar,3,2,Super built-up Area
9300000,1078,Kharghar,2,2,Super built-up Area
6000000,555,Kharghar,2,3,Built-up Area
6200000,650,Kharghar,2,2,Built-up Area
5000000,600,Kharghar,3,2,Super built-up Area
6500000,650,Kharghar,1,1,Super built-up Area
5200000,700,Kharghar,1,4,Plot Area
4200000,646,Kharghar,2,2,Super built-up Area
5500000,560,Kharghar,9,2,Plot Area
5500000,670,Kharghar,2,1,Super built-up Area
6000000,740,Kharghar,2,1,Super built-up Area
5500000,636,Kharghar,1,3,Plot Area
4200000,680,Kharghar,2,1,Built-up Area
16500000,1635,Kharghar,2,3,Super built-up Area
11399999,1550,Kharghar,3,3,Super built-up Area
13500000,1500,Kharghar,3,3,Built-up Area
22500000,1850,Kharghar,2,4,Super built-up Area
40000000,2100,Kharghar,2,1,Super built-up Area
5700000,610,Kharghar,2,3,Super built-up Area
4800000,655,Kharghar,,3,Built-up Area
4500000,660,Kharghar,2,1,Super built-up Area
4300000,650,Kharghar,4,2,Plot Area
4500000,680,Kharghar,2,4,Super built-up Area
5300000,670,Kharghar,3,4,Plot Area
4803000,655,Kharghar,2,3,Super built-up Area
13000000,1800,Kharghar,5,3,Plot Area
15500000,1645,Kharghar,2,4,Built-up Area
13000000,1395,Kharghar,8,3,Built-up Area
8500000,1150,Kharghar,2,3,Super built-up Area
9400000,1200,Kharghar,2,2,Super built-up Area
8000000,1150,Kharghar,2,3,Super built-up Area
4500000,615,Kharghar,7,3,Plot Area
5300000,670,Kharghar,2,2,Super built-up Area
6000000,765,Kharghar,3,1,Plot Area
5600000,650,Kharghar,2,3,Super built-up Area
4803000,655,Kharghar,3,2,Super built-up Area
17500000,1760,Kharghar,2,2,Super built-up Area
12000000,1415,Kharghar,3,3,Super built-up Area
15000000,1685,Kharghar,2,2,Super built-up Area
13000000,1800,Kharghar,2,1,Super built-up Area
16600000,1650,Kharghar,3,2,Built-up Area
13000000,1395,Kharghar,1,3,Built-up Area
9400000,1200,Kharghar,6,2,Built-up Area
16600000,1650,Kharghar,2,2,Super built-up Area
13000000,1395,Kharghar,,3,Built-up Area
9400000,1200,Kharghar,2,3,Super built-up Area
8000000,1150,Kharghar,2,5,Super built-up Area
5700000,650,Kharghar,5,3,Super built-up Area
5500000,560,Kharghar,7,3,Built-up Area
6000000,765,Kharghar,3,4,Super built-up Area
5600000,650,Kharghar,2,2,Super built-up Area
4900000,655,Kharghar,2,2,Super built-up Area
13500000,1390,Kharghar,6,3,Plot Area
22000000,1590,Kharghar,2,1,Built-up Area
17500000,1760,Kharghar,2,2,Super built-up Area
17800000,1716,Kharghar,2,4,Super built-up Area
14000000,1680,Kharghar,4,3,Plot Area
7200000,1050,Kharghar,2,1,Super built-up Area
7000000,1100,Kharghar,3,2,Super built-up Area
15000000,1635,Kharghar,4,2,Plot Area
10000000,1078,Kharghar,2,2,Super built-up Area
17500000,1760,Kharghar,2,2,Built-up Area
11000000,1415,Kharghar,3,1,Built-up Area
13000000,1800,Kharghar,3,5,Super built-up Area
12500000,1147,Kharghar,1,3,Built-up Area
13000000,1197,Kharghar,2,4,Plot Area
15000000,1300,Kharghar,2,3,Super built-up Area
7500000,1050,Kharghar,2,5,Super built-up Area
9500000,1240,Kharghar,2,3,Super built-up Area
9000000,1160,Kharghar,2,5,Built-up Area
6200000,650,Kharghar,3,3,Built-up Area
5500000,650,Kharghar,2,3,Built-up Area
5000000,600,Sector 20 Kharghar,2,1,Super built-up Area
5000000,550,Kharghar,3,1,Super built-up Area
5500000,550,Kharghar,2,3,Super built-up Area
4200000,650,Kharghar,2,4,Super built-up Area
5200000,700,Kharghar,2,2,Super built-up Area
4200000,646,Kharghar,4,2,Built-up Area
6500000,650,Kharghar,3,3,Built-up Area
6000000,740,Kharghar,2,3,Super built-up Area
5000000,570,Kharghar,3,2,Super built-up Area
5500000,670,Kharghar,2,3,Super built-up Area
4200000,680,Kharghar,3,4,Plot Area
5500000,636,Kharghar,3,2,Super built-up Area
4300000,640,Kharghar,3,3,Super built-up Area
15500000,1700,Kharghar,4,2,Super built-up Area
16500000,1635,Kharghar,4,2,Built-up Area
11399999,1550,Kharghar,2,3,Super built-up Area
12000000,1530,Kharghar,2,7,Built-up Area
13500000,1500,Kharghar,3,3,Built-up Area
16000000,1750,Kharghar,2,2,Super built-up Area
22000000,1590,Kharghar,2,3,Super built-up Area
11000000,1415,Kharghar,7,2,Plot Area
16600000,1650,Kharghar,3,2,Built-up Area
14000000,1687,Kharghar,3,2,Plot Area
8500000,1150,Kharghar,1,3,Super built-up Area
7500000,1050,Kharghar,4,1,Plot Area
6000000,555,Kharghar,3,4,Super built-up Area
4900000,600,Kharghar,2,3,Built-up Area
4200000,646,Kharghar,2,3,Super built-up Area
6500000,650,Kharghar,2,4,Super built-up Area
4500000,650,Kharghar,3,2,Super built-up Area
6000000,740,Kharghar,2,1,Super built-up Area
5500000,670,Kharghar,8,2,Built-up Area
4300000,640,Kharghar,5,2,Super built-up Area
5500000,650,Kharghar,3,3,Super built-up Area
13500000,1400,Kharghar,2,4,Super built-up Area
16000000,1750,Kharghar,2,3,Super built-up Area
15000000,1780,Kharghar,7,3,Super built-up Area
11000000,1415,Kharghar,3,6,Super built-up Area
14000000,1687,Kharghar,2,1,Super built-up Area
6900000,1100,Kharghar,3,2,Super built-up Area
8300000,1050,Kharghar,5,2,Plot Area
9000000,1160,Kharghar,4,3,Super built-up Area
5100000,700,Kharghar,2,2,Super built-up Area
5200000,625,Kharghar,2,4,Super built-up Area
4200000,646,Kharghar,4,3,Super built-up Area
5500000,670,Kharghar,2,3,Super built-up Area
5500000,550,Kharghar,2,3,Super built-up Area
6500000,650,Kharghar,2,3,Super built-up Area
5400000,650,Kharghar,3,2,Super built-up Area
5300000,660,Kharghar,3,3,Super built-up Area
5500000,550,Kharghar,4,3,Plot Area
5000000,570,Kharghar,2,2,Built-up Area
11000000,1415,Kharghar,2,2,Super built-up Area
14000000,1550,Kharghar,3,3,Super built-up Area
17100000,1760,Kharghar,4,2,Built-up Area
16000000,1750,Kharghar,3,3,Super built-up Area
11800000,1475,Kharghar,2,3,Super built-up Area
6000000,759,Kharghar,2,3,Super built-up Area
4850000,600,Kharghar,2,4,Super built-up Area
4300000,640,Kharghar,2,6,Built-up Area
4500000,550,Kharghar,2,1,Built-up Area
4100000,620,Kharghar,6,2,Super built-up Area
5000000,550,Kharghar,1,4,Super built-up Area
5500000,745,Kharghar,2,2,Super built-up Area
4500000,580,Kharghar,2,1,Super built-up Area
5000000,570,Kharghar,3,4,Super built-up Area
5300000,670,Kharghar,3,3,Plot Area
19000000,1845,Kharghar,3,2,Plot Area
15500000,1700,Kharghar,1,1,Plot Area
13500000,1400,Kharghar,1,3,Super built-up Area
